"plot","code","species","spha","forest","aoi","loc","treated"
302000,"PILA","Sugar pine",341,"Yosemite","Yosemite","Studhorse North","No"
302000,"QUKE","Black oak",80,"Yosemite","Yosemite","Studhorse North","No"
304000,"ABCO","White fir",40,"Yosemite","Yosemite","Studhorse North","No"
304000,"CADE","Incense cedar",481,"Yosemite","Yosemite","Studhorse North","No"
304000,"PILA","Sugar pine",120,"Yosemite","Yosemite","Studhorse North","No"
304000,"QUCH","Canyon live oak",40,"Yosemite","Yosemite","Studhorse North","No"
304000,"QUKE","Black oak",461,"Yosemite","Yosemite","Studhorse North","No"
305000,"ABCO","White fir",1564,"Yosemite","Yosemite","Studhorse North","No"
305000,"CADE","Incense cedar",421,"Yosemite","Yosemite","Studhorse North","No"
305000,"PILA","Sugar pine",241,"Yosemite","Yosemite","Studhorse North","No"
305000,"QUCH","Canyon live oak",40,"Yosemite","Yosemite","Studhorse North","No"
305000,"QUKE","Black oak",60,"Yosemite","Yosemite","Studhorse North","No"
307000,"ABCO","White fir",682,"Yosemite","Yosemite","Studhorse North","No"
307000,"CADE","Incense cedar",1383,"Yosemite","Yosemite","Studhorse North","No"
307000,"PILA","Sugar pine",301,"Yosemite","Yosemite","Studhorse North","No"
307000,"PSME","Douglas fir",20,"Yosemite","Yosemite","Studhorse North","No"
307000,"QUCH","Canyon live oak",40,"Yosemite","Yosemite","Studhorse North","No"
307000,"QUKE","Black oak",60,"Yosemite","Yosemite","Studhorse North","No"
308000,"ABCO","White fir",200,"Yosemite","Yosemite","Studhorse North","No"
308000,"CADE","Incense cedar",1764,"Yosemite","Yosemite","Studhorse North","No"
308000,"PILA","Sugar pine",40,"Yosemite","Yosemite","Studhorse North","No"
308000,"QUCH","Canyon live oak",40,"Yosemite","Yosemite","Studhorse North","No"
308000,"QUKE","Black oak",60,"Yosemite","Yosemite","Studhorse North","No"
311000,"CADE","Incense cedar",361,"Yosemite","Yosemite","Studhorse North","No"
312000,"CADE","Incense cedar",160,"Yosemite","Yosemite","Studhorse North","No"
312000,"PILA","Sugar pine",40,"Yosemite","Yosemite","Studhorse North","No"
312000,"QUCH","Canyon live oak",20,"Yosemite","Yosemite","Studhorse North","No"
362002,"ABCO","White fir",642,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362002,"CADE","Incense cedar",180,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362002,"QUKE","Black oak",20,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362012,"ABCO","White fir",1464,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362012,"CADE","Incense cedar",1945,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362012,"QUKE","Black oak",40,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362014,"ABCO","White fir",301,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362014,"CADE","Incense cedar",742,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362014,"PILA","Sugar pine",40,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362014,"QUKE","Black oak",160,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362015,"ABCO","White fir",301,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362015,"CADE","Incense cedar",120,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362015,"PILA","Sugar pine",20,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362026,"ABCO","White fir",902,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362026,"CADE","Incense cedar",862,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362026,"PILA","Sugar pine",100,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362026,"PSME","Douglas fir",20,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362027,"ABCO","White fir",241,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362027,"CADE","Incense cedar",200,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362027,"PILA","Sugar pine",20,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362034,"ABCO","White fir",20,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
362034,"CADE","Incense cedar",80,"Eldorado","Eldorado - Placerville","Lincoln","Yes"
402000,"QUCH","Canyon live oak",261,"BLM","BLM","Lily gap phase 1","Yes"
402000,"QUKE","Black oak",20,"BLM","BLM","Lily gap phase 1","Yes"
404000,"QUKE","Black oak",60,"BLM","BLM","Lily gap phase 1","Yes"
405202,"QUCH","Canyon live oak",60,"Sierra","Sierra - High Sierra","Barnes Mountain","Yes"
405202,"QUKE","Black oak",40,"Sierra","Sierra - High Sierra","Barnes Mountain","Yes"
405204,"CADE","Incense cedar",40,"Sierra","Sierra - High Sierra","Barnes Mountain","Yes"
405204,"QUCH","Canyon live oak",200,"Sierra","Sierra - High Sierra","Barnes Mountain","Yes"
405204,"QUKE","Black oak",100,"Sierra","Sierra - High Sierra","Barnes Mountain","Yes"
405205,"QUCH","Canyon live oak",120,"Sierra","Sierra - High Sierra","Barnes Mountain","Yes"
405206,"CADE","Incense cedar",20,"Sierra","Sierra - High Sierra","Barnes Mountain","Yes"
405206,"QUCH","Canyon live oak",200,"Sierra","Sierra - High Sierra","Barnes Mountain","Yes"
405206,"QUKE","Black oak",321,"Sierra","Sierra - High Sierra","Barnes Mountain","Yes"
405210,"CADE","Incense cedar",40,"Sierra","Sierra - High Sierra","Barnes Mountain","Yes"
405210,"QUCH","Canyon live oak",140,"Sierra","Sierra - High Sierra","Barnes Mountain","Yes"
405210,"QUKE","Black oak",100,"Sierra","Sierra - High Sierra","Barnes Mountain","Yes"
410000,"QUCH","Canyon live oak",20,"BLM","BLM","Lily gap phase 1","Yes"
410000,"QUKE","Black oak",20,"BLM","BLM","Lily gap phase 1","Yes"
411000,"QUCH","Canyon live oak",20,"BLM","BLM","Lily gap phase 1","Yes"
411000,"QUKE","Black oak",842,"BLM","BLM","Lily gap phase 1","Yes"
414000,"CADE","Incense cedar",20,"BLM","BLM","Lily gap phase 1","Yes"
414000,"QUCH","Canyon live oak",20,"BLM","BLM","Lily gap phase 1","Yes"
414000,"QUKE","Black oak",20,"BLM","BLM","Lily gap phase 1","Yes"
432000,"CADE","Incense cedar",762,"BLM","BLM","Lily gap phase 1","Yes"
432000,"QUKE","Black oak",80,"BLM","BLM","Lily gap phase 1","Yes"
435000,"ABCO","White fir",80,"BLM","BLM","Lily gap phase 1","Yes"
435000,"CADE","Incense cedar",301,"BLM","BLM","Lily gap phase 1","Yes"
435000,"PILA","Sugar pine",60,"BLM","BLM","Lily gap phase 1","Yes"
435000,"PSME","Douglas fir",20,"BLM","BLM","Lily gap phase 1","Yes"
435000,"QUCH","Canyon live oak",140,"BLM","BLM","Lily gap phase 1","Yes"
435000,"QUKE","Black oak",20,"BLM","BLM","Lily gap phase 1","Yes"
439000,"QUKE","Black oak",20,"BLM","BLM","Lily gap phase 1","No"
561000,"CADE","Incense cedar",140,"BLM","BLM","Lily gap phase 2","No"
561000,"PILA","Sugar pine",80,"BLM","BLM","Lily gap phase 2","No"
561000,"PSME","Douglas fir",20,"BLM","BLM","Lily gap phase 2","No"
561000,"QUKE","Black oak",20,"BLM","BLM","Lily gap phase 2","No"
562000,"CADE","Incense cedar",561,"BLM","BLM","Lily gap phase 2","No"
562000,"PILA","Sugar pine",521,"BLM","BLM","Lily gap phase 2","No"
562000,"PSME","Douglas fir",100,"BLM","BLM","Lily gap phase 2","No"
562000,"QUKE","Black oak",521,"BLM","BLM","Lily gap phase 2","No"
564000,"CADE","Incense cedar",221,"BLM","BLM","Lily gap phase 2","No"
564000,"PILA","Sugar pine",80,"BLM","BLM","Lily gap phase 2","No"
